id,genre,class,num_class,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
7E1lnnPsrnHslXSWomUkLP,pop rap,pop,1,51,258959,0.726,0.629,0.0,0.117,-2.365,1.0,0.242,165.984,0.73
0xUvi7wldroBzaZCengPa5,atl trap,rap,0,74,182857,0.868,0.638,0.0565,0.0931,-7.746,1.0,0.0736,126.03,0.459
4L5FErBP8i7KLukuSBsAYd,dance pop,pop,1,64,145321,0.843,0.694,0.0,0.0786,-3.307,1.0,0.0446,108.897,0.577
6QBZlIxCB2lAPU2bM1ut1p,k-pop,pop,1,4,198770,0.861,0.658,0.803,0.0443,-6.966,1.0,0.05,114.0,0.625
44l9nnCVvOQBbWG6tDViKl,danish pop,pop,1,74,172398,0.715,0.658,0.0,0.0742,-4.304,0.0,0.106,158.024,0.795
1444RlH5FNC5fJmBcLB9xI,australian pop,pop,1,19,229613,0.538,0.808,1.99e-06,0.136,-5.644,1.0,0.132,170.032,0.702
1HKl3RJInVzf5ObVnM644j,electropop,pop,1,75,171171,0.717,0.712,0.0,0.0756,-6.098,1.0,0.0765,97.019,0.825
1tH2L4hkZU7IMJbreHFcMs,dance pop,pop,1,50,131271,0.363,0.594,0.0,0.106,-7.847,1.0,0.079,94.639,0.257
38KsRHYE10bG0paU78gL9r,electropop,pop,1,76,201398,0.742,0.679,0.0,0.0754,-4.594,1.0,0.0259,100.041,0.856
551xyaSJsg8hILXFq9JdST,rap,rap,0,72,185850,0.433,0.443,0.000293,0.117,-10.568,0.0,0.0361,79.903,0.0363
0QpOqKz66ZxHNqj2PPHiFF,modern indie pop,pop,1,67,129240,0.817,0.634,0.0,0.0735,-7.246,1.0,0.162,138.015,0.453
30bqVoKjX479ab90a8Pafp,emo rap,rap,0,86,142000,0.585,0.471,0.0184,0.115,-9.934,0.0,0.0616,93.099,0.323
58AGoOGbwsQMhBbH0eFLRR,dance pop,pop,1,77,210795,0.612,0.884,0.00132,0.247,-4.113,0.0,0.0454,178.043,0.679
2J4P46vCFm1rPkNkp9pZWX,k-pop,pop,1,75,175813,0.79,0.729,9.31e-05,0.0411,-3.843,1.0,0.334,159.989,0.904
2DQNYMRjisN3KAPj1bEwOI,pop rap,pop,1,70,195428,0.8,0.658,0.0,0.111,-6.142,0.0,0.079,140.042,0.462
2rFsFjq0D9JAmc0APpCO6P,pop rap,pop,1,76,174729,0.761,0.517,0.0,0.157,-6.916,1.0,0.0927,147.912,0.46
0mb3uDw5vfFUcZfJYFOMRu,dmv rap,rap,0,71,168477,0.653,0.603,0.0,0.18,-5.697,0.0,0.171,151.016,0.551
0IAkpYTRomExXOUJonNMTR,pop,pop,1,30,135740,0.866,0.531,0.0,0.0937,-6.859,1.0,0.0703,99.069,0.266
7cLrrJ1Dk6WAQyDIj9j26A,dance pop,pop,1,62,189772,0.699,0.669,1.71e-05,0.248,-5.829,0.0,0.0712,125.994,0.444
2V4Fx72svQRxrFvNT1eq5f,k-pop girl group,pop,1,75,162600,0.676,0.857,0.0,0.254,-4.368,0.0,0.0438,149.981,0.717
4nTIY6vSiw19IzzPKKqCU9,pop rap,pop,1,63,178329,0.694,0.697,0.0,0.0821,-7.373,0.0,0.0379,89.966,0.379
4Rq2BMG5VWMhb2whSx8bf4,cali rap,rap,0,65,230488,0.504,0.597,0.0,0.0949,-6.237,1.0,0.1,117.974,0.557
367wyLNqQMr5e8S2E6Zvpp,dance pop,pop,1,69,174312,0.642,0.546,0.0,0.0989,-5.377,1.0,0.0407,122.165,0.142
7FZgTwoBP8TOgcGqCXaha7,pop rap,pop,1,50,186000,0.788,0.583,0.0,0.108,-6.105,1.0,0.087,80.044,0.468
1GGuz6FiDdy6uH545iwYHn,dance pop,pop,1,54,159733,0.623,0.781,0.0,0.568,-6.823,0.0,0.0496,94.035,0.76
1IIV8jglA0klVZy17q665k,dance pop,pop,1,69,223297,0.77,0.881,0.0,0.324,-4.776,1.0,0.067,99.995,0.367
5woaU1FNkqCwg6WzWiQPW5,cali rap,rap,0,69,253568,0.948,0.63,2.02e-05,0.0737,-7.011,1.0,0.219,100.032,0.425
0wYOlCybpxFc2azWLyYj0S,viral rap,rap,0,17,159955,0.839,0.683,0.0,0.241,-9.232,0.0,0.165,120.003,0.522
1RsD951uUUlJx0MRioZfev,dance pop,pop,1,62,189772,0.692,0.67,1.65e-05,0.248,-5.829,0.0,0.0871,126.004,0.445
0t1kP63rueHleOhQkYSXFY,k-pop,pop,1,84,199053,0.746,0.765,0.0,0.0936,-4.41,0.0,0.0993,114.044,0.737
3iH29NcCxYgI5shlkZrUoB,melodic rap,rap,0,77,136568,0.677,0.714,0.0,0.0717,-5.637,1.0,0.0287,94.956,0.355
7Bar1kLTmsRmH6FCKKMEyU,pop,pop,1,81,202007,0.679,0.516,0.0,0.0965,-6.371,0.0,0.0452,120.074,0.716
7Mu3sCvXdMSlBLrUPOhWAG,emo rap,rap,0,60,203333,0.649,0.779,0.0,0.299,-4.719,1.0,0.115,89.978,0.503
4adrh1YMaPAhtqalhG8hIH,melodic rap,rap,0,57,157118,0.687,0.575,0.0,0.0981,-8.169,1.0,0.454,114.268,0.394
6qiiDtFAJjyEhoZVcf6ovL,emo rap,rap,0,72,132303,0.611,0.688,0.0,0.251,-5.688,1.0,0.341,178.462,0.393
5ZiAWafwH9N572lPB6F95J,baton rouge rap,rap,0,4,143044,0.848,0.617,0.0,0.0751,-5.484,0.0,0.294,160.917,0.713
4We7QlOUIwpt5w8y07Gd0M,emo rap,rap,0,59,164000,0.833,0.778,0.0,0.12,-5.455,0.0,0.0575,120.011,0.55
3ZWhRS2EJVL5B0IEzkcvZa,nz pop,pop,1,72,163228,0.827,0.73,1.35e-05,0.258,-5.324,1.0,0.0934,95.003,0.679
